date,store_name,brand,budget,actual_sales,variance,variance_pct,customer_count,avg_spend
25/1/2021,CITY MARKET,CHICKEN INN,737.331,478,-259.331,-35.17158508,121,3.950413223
25/1/2021,OASIS,CHICKEN INN,475.9282498,472.25,-3.678249839,-0.77285806,65,7.265384615
25/1/2021,LA PIAZZA,CHICKEN INN,1094.514,880.75,-213.764,-19.53049481,135,6.524074074
25/1/2021,CARREFOUR,CHICKEN INN,1236.729,1155.5,-81.229,-6.568051691,148,7.807432432
26/1/2021,LA PIAZZA,CHICKEN INN,973.028,780,-193.028,-19.83786695,134,5.820895522
26/1/2021,CARREFOUR,CHICKEN INN,1417.514,842.75,-574.764,-40.5473244,137,6.151459854
26/1/2021,JUNCTION,CHICKEN INN,1743.6969,1325,-418.6969,-24.01202296,175,7.571428571
26/1/2021,OASIS,CHICKEN INN,479.0698071,626,146.9301929,30.66989209,77,8.12987013
26/1/2021,CITY MARKET,CHICKEN INN,719.726,557.75,-161.976,-22.50523116,119,4.68697479
27/1/2021,LA PIAZZA,CHICKEN INN,1216.5795,617.75,-598.8295,-49.22238949,106,5.827830189
27/1/2021,CARREFOUR,CHICKEN INN,1323.3785,788.25,-535.1285,-40.43654178,121,6.51446281
27/1/2021,CITY MARKET,CHICKEN INN,488.201,460.5,-27.701,-5.674097349,119,3.869747899
27/1/2021,JUNCTION,CHICKEN INN,1596.5928,1466.5,-130.0928,-8.148151489,194,7.559278351
27/1/2021,OASIS,CHICKEN INN,438.6538766,459,20.34612342,4.63830927,56,8.196428571
28/1/2021,JUNCTION,CHICKEN INN,1470.6054,1416.5,-54.1054,-3.679124257,172,8.235465116
28/1/2021,OASIS,CHICKEN INN,404.0396272,454.75,50.71037285,12.55084141,61,7.454918033
28/1/2021,CITY MARKET,CHICKEN INN,572.936,440.25,-132.686,-23.15895667,118,3.730932203
28/1/2021,LA PIAZZA,CHICKEN INN,852.1215,913.5,61.3785,7.203022104,140,6.525
28/1/2021,CARREFOUR,CHICKEN INN,1214.8505,936.5,-278.3505,-22.91232543,150,6.243333333
29/1/2021,LA PIAZZA,CHICKEN INN,815.2805,775.25,-40.0305,-4.910027898,118,6.569915254
29/1/2021,CARREFOUR,CHICKEN INN,1157.5655,1189.5,31.9345,2.758763975,158,7.528481013
29/1/2021,CITY MARKET,CHICKEN INN,552.573,522.5,-30.073,-5.442357842,137,3.813868613
29/1/2021,JUNCTION,CHICKEN INN,1371.0015,1566.5,195.4985,14.25953947,189,8.288359788
29/1/2021,OASIS,CHICKEN INN,376.6740792,443,66.32592082,17.60830503,51,8.68627451
30/1/2021,OASIS,CHICKEN INN,350.0483612,430.5,80.45163885,22.98300686,63,6.833333333
30/1/2021,JUNCTION,CHICKEN INN,1274.0904,1997.25,723.1596,56.75889246,231,8.646103896
30/1/2021,CITY MARKET,CHICKEN INN,483.217,605.75,122.533,25.35775852,171,3.542397661
30/1/2021,CARREFOUR,CHICKEN INN,1366.556,1623,256.444,18.76571469,189,8.587301587
30/1/2021,LA PIAZZA,CHICKEN INN,996.3505,1402.5,406.1495,40.76371719,206,6.808252427
31/1/2021,LA PIAZZA,CHICKEN INN,1253.4205,1547.25,293.8295,23.44221273,179,8.643854749
31/1/2021,CARREFOUR,CHICKEN INN,1299.1915,2072,772.8085,59.48380204,255,8.125490196
31/1/2021,CITY MARKET,CHICKEN INN,724.605,524.75,-199.855,-27.58123391,118,4.447033898
31/1/2021,JUNCTION,CHICKEN INN,1870.902,3333.75,1462.848,78.18945086,404,8.251856436
31/1/2021,OASIS,CHICKEN INN,514.018612,937,422.981388,82.28911913,111,8.441441441
1/2/2021,JUNCTION,CHICKEN INN,1416.3118,1448.25,31.9382,2.255026047,177,8.18220339
1/2/2021,CITY MARKET,CHICKEN INN,742.9695,580.75,-162.2195,-21.833938,150,3.871666667
1/2/2021,OASIS,CHICKEN INN,389.1228004,594.75,205.6271996,52.84378076,50,11.895
1/2/2021,LA PIAZZA,CHICKEN INN,1218.014,959,-259.014,-21.26527281,147,6.523809524
1/2/2021,CARREFOUR,CHICKEN INN,1199.5935,998.5,-201.0935,-16.76347029,147,6.792517007
2/2/2021,LA PIAZZA,CHICKEN INN,1257.407652,1014.75,-242.6576516,-19.29824837,156,6.504807692
2/2/2021,CARREFOUR,CHICKEN INN,1442.754801,1062,-380.7548006,-26.39081848,164,6.475609756
2/2/2021,CITY MARKET,CHICKEN INN,721.6911122,582.5,-139.1911122,-19.28679872,137,4.251824818
2/2/2021,JUNCTION,CHICKEN INN,1581.384138,1542.5,-38.88413776,-2.45886732,196,7.869897959
2/2/2021,OASIS,CHICKEN INN,434.4753918,453.75,19.27460816,4.436294557,52,8.725961538
3/2/2021,JUNCTION,CHICKEN INN,1522.899285,1456.25,-66.6492852,-4.376473602,187,7.787433155
3/2/2021,CITY MARKET,CHICKEN INN,607.7259247,587.25,-20.47592472,-3.369269581,144,4.078125
3/2/2021,OASIS,CHICKEN INN,418.4070447,268.25,-150.1570447,-35.88779076,41,6.542682927
3/2/2021,LA PIAZZA,CHICKEN INN,1094.506047,963.5,-131.0060467,-11.96942193,160,6.021875
3/2/2021,CARREFOUR,CHICKEN INN,1232.441209,887.75,-344.6912085,-27.96816644,143,6.208041958
4/2/2021,LA PIAZZA,CHICKEN INN,1111.997834,973.25,-138.7478343,-12.47734753,158,6.159810127
4/2/2021,CARREFOUR,CHICKEN INN,1239.035134,816.25,-422.7851338,-34.12212634,123,6.636178862
4/2/2021,CITY MARKET,CHICKEN INN,600.5172424,616.5,15.98275763,2.661498538,150,4.11
4/2/2021,JUNCTION,CHICKEN INN,1633.289186,1885.75,252.4608138,15.45720231,250,7.543
4/2/2021,OASIS,CHICKEN INN,448.7359789,278.25,-170.4859789,-37.99249156,36,7.729166667
5/2/2021,LA PIAZZA,CHICKEN INN,1001.880212,873.75,-128.1302121,-12.78897523,149,5.86409396
5/2/2021,CARREFOUR,CHICKEN INN,1339.693825,1077.75,-261.9438249,-19.55251416,154,6.998376623
5/2/2021,CITY MARKET,CHICKEN INN,684.8044206,559,-125.8044206,-18.37085405,93,6.010752688
5/2/2021,JUNCTION,CHICKEN INN,1811.07818,1481,-330.0781799,-18.22550697,204,7.259803922
5/2/2021,OASIS,CHICKEN INN,497.5823919,455.25,-42.33239195,-8.507614544,48,9.484375
6/2/2021,OASIS,CHICKEN INN,814.7406872,436.25,-378.4906872,-46.45535606,50,8.725
6/2/2021,JUNCTION,CHICKEN INN,2965.456786,2409.25,-556.206786,-18.75619259,252,9.560515873
6/2/2021,LA PIAZZA,CHICKEN INN,1474.646295,981,-493.646295,-33.47557286,152,6.453947368
6/2/2021,CARREFOUR,CHICKEN INN,1756.999332,1345.5,-411.4993315,-23.42057417,182,7.392857143
6/2/2021,CITY MARKET,CHICKEN INN,803.9176954,587.75,-216.1676954,-26.8892819,139,4.228417266
7/2/2021,LA PIAZZA,CHICKEN INN,1807.975852,1453.25,-354.7258516,-19.62005473,190,7.648684211
7/2/2021,CARREFOUR,CHICKEN INN,2867.527067,1961.25,-906.2770674,-31.60483044,226,8.678097345
7/2/2021,CITY MARKET,CHICKEN INN,721.2830735,475.5,-245.7830735,-34.07581331,110,4.322727273
7/2/2021,JUNCTION,CHICKEN INN,3928.607897,3313.25,-615.3578973,-15.66351016,383,8.65078329
7/2/2021,OASIS,CHICKEN INN,1079.360425,942.75,-136.6104254,-12.65660869,120,7.85625
8/2/2021,LA PIAZZA,CHICKEN INN,1075.809645,1073,-2.809645468,-0.26116567,183,5.863387978
8/2/2021,CARREFOUR,CHICKEN INN,1146.186339,939.5,-206.6863391,-18.03252509,129,7.282945736
8/2/2021,CITY MARKET,CHICKEN INN,596.6612774,518.25,-78.41127739,-13.14167357,126,4.113095238
8/2/2021,JUNCTION,CHICKEN INN,1756.590791,1222,-534.5907907,-30.43342784,173,7.063583815
8/2/2021,OASIS,CHICKEN INN,482.6123229,357.75,-124.8623229,-25.87217876,53,6.75
9/2/2021,OASIS,CHICKEN INN,506.5332162,366.25,-140.2832162,-27.69477138,39,9.391025641
9/2/2021,JUNCTION,CHICKEN INN,1843.65699,1351,-492.6569904,-26.72172714,166,8.138554217
9/2/2021,LA PIAZZA,CHICKEN INN,1170.944262,993.75,-177.1942624,-15.13259581,164,6.05945122
9/2/2021,CARREFOUR,CHICKEN INN,1573.605167,1080.75,-492.8551675,-31.32012894,145,7.453448276
9/2/2021,CITY MARKET,CHICKEN INN,685.5184882,559.5,-126.0184882,-18.38294523,136,4.113970588
10/2/2021,LA PIAZZA,CHICKEN INN,1479.26564,879.25,-600.0156401,-40.56172359,141,6.235815603
10/2/2021,CARREFOUR,CHICKEN INN,1672.474503,1134.25,-538.2245025,-32.18132783,148,7.663851351
10/2/2021,CITY MARKET,CHICKEN INN,662.5663157,908.13,245.5636843,37.06250658,120,7.56775
10/2/2021,JUNCTION,CHICKEN INN,2267.29515,1258.5,-1008.79515,-44.49333162,167,7.535928144
10/2/2021,OASIS,CHICKEN INN,622.9251483,336.5,-286.4251483,-45.98066864,46,7.315217391
11/2/2021,OASIS,CHICKEN INN,647.7967474,304.25,-343.5467474,-53.03310781,53,5.740566038
11/2/2021,JUNCTION,CHICKEN INN,2357.821686,1504.75,-853.0716859,-36.18050046,198,7.599747475
11/2/2021,LA PIAZZA,CHICKEN INN,1140.779142,909.25,-231.5291421,-20.29570261,138,6.588768116
11/2/2021,CARREFOUR,CHICKEN INN,1404.970719,1080,-324.9707191,-23.13007059,153,7.058823529
11/2/2021,CITY MARKET,CHICKEN INN,637.859577,516,-121.859577,-19.10445205,138,3.739130435
12/2/2021,LA PIAZZA,CHICKEN INN,1406.71216,786.25,-620.4621596,-44.10725786,140,5.616071429
12/2/2021,CARREFOUR,CHICKEN INN,2000.450611,1072,-928.450611,-46.41207365,155,6.916129032
12/2/2021,CITY MARKET,CHICKEN INN,518.2967274,543.75,25.45327257,4.910946033,134,4.057835821
12/2/2021,JUNCTION,CHICKEN INN,1789.876862,1662.75,-127.1268624,-7.102547952,207,8.032608696
12/2/2021,OASIS,CHICKEN INN,944.5883439,301.25,-643.3383439,-68.1078004,50,6.025
13/2/2021,OASIS,CHICKEN INN,1031.788958,717,-314.7889583,-30.50904507,72,9.958333333
13/2/2021,JUNCTION,CHICKEN INN,1879.223431,2184.25,305.026569,16.23152223,256,8.532226563
13/2/2021,CARREFOUR,CHICKEN INN,2100.308541,1740,-360.3085405,-17.15502906,221,7.873303167
13/2/2021,LA PIAZZA,CHICKEN INN,1081.228573,1186.5,105.2714267,9.736278649,172,6.898255814
13/2/2021,CITY MARKET,CHICKEN INN,786.8539387,569.75,-217.1039387,-27.59138996,139,4.098920863
14/2/2021,OASIS,CHICKEN INN,997.8228214,1304.25,306.4271786,30.7095781,158,8.254746835
14/2/2021,LA PIAZZA,CHICKEN INN,1259.823691,1428.25,168.4263093,13.36903811,197,7.25
14/2/2021,CARREFOUR,CHICKEN INN,2614.377676,1985,-629.377676,-24.07370908,222,8.941441441
14/2/2021,CITY MARKET,CHICKEN INN,489.8729662,384.75,-105.1229662,-21.45922993,91,4.228021978
14/2/2021,JUNCTION,CHICKEN INN,2339.180026,3926,1586.819974,67.83659045,423,9.281323877
15/2/2021,OASIS,CHICKEN INN,584.9442006,530.25,-54.69420063,-9.350327873,67,7.914179104
15/2/2021,JUNCTION,CHICKEN INN,1103.586242,1303,199.4137584,18.06961259,188,6.930851064
15/2/2021,CITY MARKET,CHICKEN INN,649.480517,449.75,-199.730517,-30.75234927,132,3.40719697
15/2/2021,CARREFOUR,CHICKEN INN,1233.419917,796,-437.4199171,-35.46399008,132,6.03030303
15/2/2021,LA PIAZZA,CHICKEN INN,895.8092327,1358.5,462.6907673,51.65059149,201,6.758706468
16/2/2021,LA PIAZZA,CHICKEN INN,821.3463949,872.25,50.90360509,6.197580631,180,4.845833333
16/2/2021,CARREFOUR,CHICKEN INN,1493.944223,1003.75,-490.1942233,-32.81208332,161,6.23447205
16/2/2021,CITY MARKET,CHICKEN INN,554.3543682,542,-12.35436818,-2.228604822,127,4.267716535
16/2/2021,JUNCTION,CHICKEN INN,1336.686937,1815.5,478.8130633,35.82088297,179,10.1424581
16/2/2021,OASIS,CHICKEN INN,478.2645792,447.25,-31.01457918,-6.484816257,58,7.711206897
17/2/2021,OASIS,CHICKEN INN,671.0640049,403.75,-267.3140049,-39.83435305,49,8.239795918
17/2/2021,JUNCTION,CHICKEN INN,1121.798754,1427.75,305.9512463,27.27327387,164,8.705792683
17/2/2021,CARREFOUR,CHICKEN INN,1253.775078,901.75,-352.0250776,-28.07721129,137,6.582116788
17/2/2021,LA PIAZZA,CHICKEN INN,880.7691144,1037.5,156.7308856,17.79477539,149,6.963087248
17/2/2021,CITY MARKET,CHICKEN INN,534.7174571,427.5,-107.2174571,-20.0512356,120,3.5625
18/2/2021,LA PIAZZA,CHICKEN INN,796.6819422,905,108.3180578,13.59614823,131,6.908396947
18/2/2021,CARREFOUR,CHICKEN INN,1523.602058,1060,-463.6020581,-30.42802782,157,6.751592357
18/2/2021,CITY MARKET,CHICKEN INN,564.7068312,506.25,-58.45683118,-10.35171313,114,4.440789474
18/2/2021,JUNCTION,CHICKEN INN,1363.222894,1518.5,155.2771059,11.39044148,205,7.407317073
18/2/2021,OASIS,CHICKEN INN,590.9619315,520.25,-70.71193149,-11.96556457,65,8.003846154
19/2/2021,JUNCTION,CHICKEN INN,1462.099292,1609.75,147.6507079,10.09854178,219,7.350456621
19/2/2021,CITY MARKET,CHICKEN INN,642.8782429,465.25,-177.6282429,-27.63015312,121,3.845041322
19/2/2021,OASIS,CHICKEN INN,500.8028284,591,90.19717161,18.01051562,66,8.954545455
19/2/2021,LA PIAZZA,CHICKEN INN,709.1491243,898,188.8508757,26.63062948,143,6.27972028
19/2/2021,CARREFOUR,CHICKEN INN,1220.910555,895,-325.9105545,-26.69405661,154,5.811688312
20/2/2021,LA PIAZZA,CHICKEN INN,1237.313815,1075.25,-162.0638146,-13.09803646,167,6.438622754
20/2/2021,CARREFOUR,CHICKEN INN,1807.045627,1489.75,-317.2956269,-17.5588055,226,6.591814159
20/2/2021,CITY MARKET,CHICKEN INN,670.367491,583.75,-86.61749102,-12.9208967,150,3.891666667
20/2/2021,JUNCTION,CHICKEN INN,3375.657808,2485.5,-890.1578075,-26.3699065,278,8.940647482
20/2/2021,OASIS,CHICKEN INN,1156.240884,685.75,-470.4908838,-40.69142429,81,8.466049383
21/2/2021,JUNCTION,CHICKEN INN,3935.12389,3661.25,-273.8738901,-6.959727261,373,9.815683646
21/2/2021,CITY MARKET,CHICKEN INN,589.3318575,460.5,-128.8318575,-21.86066404,105,4.385714286
21/2/2021,OASIS,CHICKEN INN,1347.870959,966,-381.8709585,-28.33141823,104,9.288461538
